DRILLHOLE_NO,z_true,EASTING_GDA2020,NORTHING_GDA2020
726,7.0,788478.94,7065268.53
727,6.333333333333333,794106.62,7058231.49
728,8.25,797652.55,7042011.51
729,16.1875,779072.02,7034970.55
730,13.708333333333334,765257.67,7033019.55
734,12.02625,759231.02,7073585.56
735,2.5919999999999996,766547.78,7074711.61
736,6.070833333333333,781665.04,7072584.48
741,6.833333333333333,767497.74,7074238.49
742,18.416666666666668,752446.37,7080014.77
743,13.166666666666666,777476.94,7069894.54
744,9.5,780974.05,7096448.49
745,10.5,761578.97,7111407.39
746,7.25,760660.05,7111488.67
747,7.375,759116.01,7109715.59
749,19.833333333333332,789013.58,7065539.57
750,8.5,780277.05,7094239.56
758,14.680833333333332,251484.98,6486593.37
760,16.459444444444443,252770.06,6489744.25
762,17.08875,249587.97,6484000.38
765,24.715,239795.88,6495536.4
796,118.17833333333334,236369.06,6464958.29
809,10.008333333333333,236008.92,6480276.33
811,23.723888888888887,234604.15,6481860.39
812,46.64944444444445,227443.95,6480204.36
813,55.475,227750.1,6477616.1
815,18.197499999999998,227475.0,6490412.17
817,36.588235294117645,226797.05,6491297.56
839,1.83,251782.97,6461886.36
841,3.2,244565.86,6465037.14
853,6.62875,243324.85,6469646.13
857,9.709285714285715,240349.85,6474556.45
860,12.674166666666666,245993.89,6479206.37
861,12.779285714285715,248976.03,6482375.39
862,8.7125,251310.03,6474757.18
869,1.83,248057.86,6467788.18
870,13.472,244681.94,6471739.38
873,4.345000000000001,244453.01,6467155.41
874,4.462142857142857,253920.99,6479723.33
879,1.83,260709.93,6472021.34
881,2.59,252143.9,6457253.38
882,4.955,252148.94,6458183.34
890,31.698749999999997,237209.98,6504413.33
917,28.016666666666666,238351.97,6477844.36
918,48.574999999999996,238454.13,6477762.29
919,48.30875,236404.0,6480095.37
920,2.0,251597.95,6471189.23
921,5.575,243087.0,6461483.16
922,3.1916666666666664,251815.88,6466147.39
923,2.6666666666666665,251852.95,6465258.08
924,4.625,251788.06,6467057.13
925,4.824999999999999,251727.95,6469789.33
926,5.625,251798.01,6467709.24
927,5.25,251817.93,6466574.3
928,2.0,251840.94,6465785.17
929,2.0,251842.07,6465785.2
930,4.0,251880.08,6464498.12
931,4.4,251907.08,6463322.28
932,7.666666666666667,252365.99,6461801.3
933,8.666666666666666,252960.01,6461135.05
934,4.75,254960.98,6459632.38
935,4.5,257873.94,6458095.21
936,12.4,251761.85,6469050.18
938,28.025000000000002,221361.9,6553489.53
939,22.321428571428573,246236.98,6540152.39
940,44.03030303030303,254147.02,6540348.57
941,25.5,254014.91,6532342.37
942,25.25,246251.01,6532149.55
943,19.053571428571427,238114.11,6531929.33
944,17.546875,261361.11,6532518.39
945,24.27391304347826,258026.06,6540441.35
954,7.15575,226494.98,6582232.55
958,4.336666666666667,226861.21,6583392.49
1015,21.475,223409.25,6587499.39
1017,2.025,225929.17,6616173.6
1027,7.916666666666667,225456.28,6615775.35
1030,37.111666666666665,214534.09,6625088.6
1046,176.65964285714287,210495.3,6785912.44
1051,70.86363636363636,238448.18,6737205.48
1060,228.296,226517.41,6830057.75
1073,88.93916666666667,233430.3,6953864.51
1074,42.8625,233194.57,6954852.84
1075,88.2653125,205706.53,6933320.6
1077,127.23214285714286,204347.7,6932807.54
1087,51.40615384615384,234922.62,6970513.59
1089,22.916666666666668,245834.74,6995003.83
1090,19.916666666666668,245026.68,6996226.64
1091,11.07,225095.69,6991064.75
1109,19.81333333333333,226391.51,7059263.81
1112,16.6375,202517.79,7038132.67
1115,17.80857142857143,206766.3,7049695.88
1116,16.1275,205525.94,7037144.25
1119,15.8,205918.76,7035712.86
1120,5.0,213080.23,7030727.84
1121,4.25,226221.63,7049450.73
1122,29.0,234074.74,7021193.64
1124,21.666666666666668,208299.62,7044099.74
1125,16.833333333333332,203487.75,7037587.6
1126,22.916666666666668,225684.59,7061548.74
1134,37.5,238121.64,7064192.48
1150,10.668333333333335,206468.77,7079807.51
1154,4.5683333333333325,214258.06,7090452.57
1156,10.335833333333333,213102.91,7087513.87
1157,7.5062500000000005,213397.79,7089856.72
1158,5.37,213750.6,7089561.82
1159,4.623333333333334,214677.74,7089913.79
1165,9.011111111111111,212878.9,7087537.82
1166,5.0,214166.59,7091853.76
1167,8.141666666666667,214157.67,7091967.77
1169,8.447142857142858,207840.67,7067725.06
1170,12.25,207393.63,7080292.58
1174,7.715625,219239.8,7093078.68
1175,11.854444444444445,215534.98,7109624.71
